2018-07	NULL	AL	241
2018-07	South	AL	194
2018-07	NULL	AZ	23
2018-07	West	AZ	19
2018-07	NULL	CA	1747
2018-07	Northwest	CA	125
2018-07	West	CA	1417
2018-07	NULL	CO	61
2018-07	Northwest	CO	52
2018-07	NULL	CT	29
2018-07	Northeast	CT	25
2018-07	NULL	FL	67
2018-07	Florida	FL	66
2018-07	NULL	GA	311
2018-07	South	GA	243
2018-07	NULL	ID	11
2018-07	Northwest	ID	10
2018-07	NULL	IL	91
2018-07	Central	IL	75
2018-07	NULL	IN	52
2018-07	Great Lakes	IN	14
2018-07	Southern Ohio	IN	35
2018-07	NULL	KS	34
2018-07	Central	KS	32
2018-07	NULL	KY	236
2018-07	Southern Ohio	KY	214
2018-07	NULL	LA	99
2018-07	South	LA	87
2018-07	NULL	MA	75
2018-07	Northeast	MA	61
2018-07	NULL	ME	66
2018-07	Northeast	ME	56
2018-07	NULL	MI	228
2018-07	Central	MI	2
2018-07	Great Lakes	MI	194
2018-07	NULL	MN	140
2018-07	Central	MN	111
2018-07	NULL	MO	335
2018-07	Central	MO	266
2018-07	NULL	MS	4
2018-07	South	MS	4
2018-07	NULL	MT	67
2018-07	Northwest	MT	57
2018-07	NULL	NC	798
2018-07	Carolinas	NC	667
2018-07	South	NC	33
2018-07	NULL	NE	50
2018-07	Central	NE	42
2018-07	NULL	NH	9
2018-07	Northeast	NH	8
2018-07	NULL	NJ	9
2018-07	New York City	NJ	8
2018-07	NULL	NM	4
2018-07	Texas	NM	4
2018-07	NULL	NV	104
2018-07	Northwest	NV	82
2018-07	NULL	NY	822
2018-07	New York City	NY	402
2018-07	Northeast	NY	353
2018-07	NULL	OH	619
2018-07	Great Lakes	OH	219
2018-07	Southern Ohio	OH	355
2018-07	NULL	OR	110
2018-07	Northwest	OR	92
2018-07	NULL	PA	27
2018-07	Great Lakes	PA	24
2018-07	NULL	SC	313
2018-07	Carolinas	SC	134
2018-07	South	SC	132
2018-07	NULL	TN	235
2018-07	Carolinas	TN	1
2018-07	South	TN	182
2018-07	NULL	TX	1535
2018-07	Texas	TX	1242
2018-07	NULL	VA	26
2018-07	Carolinas	VA	19
2018-07	South	VA	2
2018-07	NULL	VT	2
2018-07	Northeast	VT	1
2018-07	NULL	WA	110
2018-07	Northwest	WA	89
2018-07	NULL	WI	402
2018-07	Central	WI	351
2018-07	NULL	WV	12
2018-07	Southern Ohio	WV	9
2018-07	NULL	WY	48
2018-07	Northwest	WY	39
2018-08	NULL	AL	12432
2018-08	South	AL	10523
2018-08	NULL	AZ	977
2018-08	West	AZ	888
2018-08	NULL	CA	77349
2018-08	Carolinas	CA	1
2018-08	Northwest	CA	4971
2018-08	West	CA	65045
2018-08	NULL	CO	2196
2018-08	Northwest	CO	1786
2018-08	NULL	CT	1874
2018-08	Northeast	CT	1705
2018-08	NULL	FL	3800
2018-08	Florida	FL	3898
2018-08	South	FL	12
2018-08	NULL	GA	13234
2018-08	South	GA	10867
2018-08	NULL	ID	594
2018-08	Northwest	ID	562
2018-08	NULL	IL	4522
2018-08	Central	IL	3837
2018-08	Southern Ohio	IL	7
2018-08	NULL	IN	2967
2018-08	Great Lakes	IN	674
2018-08	Southern Ohio	IN	2056
2018-08	NULL	KS	2237
2018-08	Central	KS	2052
2018-08	NULL	KY	13786
2018-08	Southern Ohio	KY	12580
2018-08	NULL	LA	4609
2018-08	South	LA	3910
2018-08	NULL	MA	5380
2018-08	Northeast	MA	4772
2018-08	NULL	MD	36
2018-08	Carolinas	MD	30
2018-08	NULL	ME	4268
2018-08	Northeast	ME	3980
2018-08	NULL	MI	15792
2018-08	Central	MI	48
2018-08	Great Lakes	MI	13580
2018-08	NULL	MN	6512
2018-08	Central	MN	5619
2018-08	NULL	MO	17704
2018-08	Central	MO	14852
2018-08	NULL	MS	287
2018-08	South	MS	246
2018-08	NULL	MT	3373
2018-08	Northwest	MT	2812
2018-08	NULL	NC	45149
2018-08	Carolinas	NC	38785
2018-08	South	NC	1728
2018-08	NULL	NE	2857
2018-08	Central	NE	2458
2018-08	NULL	NH	872
2018-08	Northeast	NH	826
2018-08	NULL	NJ	653
2018-08	New York City	NJ	599
2018-08	NULL	NM	129
2018-08	Texas	NM	118
2018-08	NULL	NV	4490
2018-08	Northwest	NV	3718
2018-08	NULL	NY	48061
2018-08	New York City	NY	20163
2018-08	Northeast	NY	24311
2018-08	NULL	OH	39539
2018-08	Great Lakes	OH	15401
2018-08	Southern Ohio	OH	21603
2018-08	NULL	OR	4632
2018-08	Northwest	OR	3899
2018-08	NULL	PA	1627
2018-08	Great Lakes	PA	1348
2018-08	Northeast	PA	136
2018-08	NULL	SC	17524
2018-08	Carolinas	SC	8892
2018-08	South	SC	6493
2018-08	NULL	TN	13328
2018-08	Carolinas	TN	91
2018-08	South	TN	11010
2018-08	NULL	TX	72039
2018-08	Texas	TX	58994
2018-08	NULL	VA	1325
2018-08	Carolinas	VA	1083
2018-08	South	VA	74
2018-08	NULL	VT	333
2018-08	Northeast	VT	295
2018-08	NULL	WA	4333
2018-08	Northwest	WA	3681
2018-08	NULL	WI	24716
2018-08	Central	WI	22148
2018-08	Great Lakes	WI	25
2018-08	NULL	WV	437
2018-08	Carolinas	WV	1
2018-08	Southern Ohio	WV	397
2018-08	NULL	WY	1987
2018-08	Northwest	WY	1610
