hive_metric
ccpa_agree_and_continue_clicks
ccpa_choice_form_direct_pageviews
ccpa_flow_complete_successes_pageviews
ccpa_it_request_ticket_submission_server_4xx_error_counts
ccpa_it_request_ticket_submission_server_5xx_error_counts
ccpa_it_request_ticket_submission_user_failed_verification_error_counts
ccpa_kba_identity_question_pageviews
ccpa_kba_speedbump_warning_continue_clicks
ccpa_kba_speedbump_warning_pageviews
ccpa_kba_successfully_authenticated_counts
ccpa_kba_user_failed_verification_24hrcooldown_error_counts
ccpa_kba_user_failed_verification_generic_error_counts
ccpa_kba_user_failed_verification_timeout_error_counts
ccpa_lexisnexis_server_error_4xx_after_kba_verification_error_counts
ccpa_lexisnexis_server_error_5xx_after_kba_verification_error_counts
ccpa_lexisnexis_user_not_found_error_counts
ccpa_privacy_api_generic_api_failure_error_counts
ccpa_resident_id_continue_clicks
ccpa_resident_id_form_pageviews
portals_access_voice_platform_via_tile
portals_account_billing_support_views
portals_account_settings_add_person_page_views
portals_account_settings_cancel_manage_contact_info
portals_account_settings_click_add_person
portals_account_settings_click_cancel_add_or_change_role
portals_account_settings_click_cancel_add_person
portals_account_settings_click_change_role
portals_account_settings_click_change_role_from_manage_people
portals_account_settings_click_change_to_standard_role
portals_account_settings_click_delete_user
portals_account_settings_click_install_wifi_profile
portals_account_settings_click_manage_contact_info
portals_account_settings_click_manage_people
portals_account_settings_click_resend_code
portals_account_settings_click_resend_invite
portals_account_settings_click_save_add_admin
portals_account_settings_click_save_add_person
portals_account_settings_click_save_add_standard
portals_account_settings_click_save_contact_info
portals_account_settings_click_send_verification_phone_call
portals_account_settings_click_send_verification_via_text
portals_account_settings_click_verify_email
portals_account_settings_click_verify_phone_number
portals_account_settings_error_expired_code
portals_account_settings_error_incorrect_code
portals_account_settings_home_page_api_error
portals_account_settings_home_page_views
portals_account_settings_manage_contact_info_page_views
portals_account_settings_manage_people_page_views
portals_account_settings_verify_identity_click
portals_account_settings_your_info_change_primary_user_role
portals_account_settings_your_info_change_role
portals_account_settings_your_info_role_change_cancel
portals_account_settings_your_info_role_change_save
portals_account_settings_your_info_tab_views
portals_add_internet_banner_click
portals_add_tv_banner_click
portals_add_voice_banner_click
portals_all_equipment_reset_flow_failures_deprecated_cl68
portals_all_equipment_reset_flow_starts_deprecated_cl68
portals_all_equipment_reset_flow_successes_deprecated_cl68
portals_autopay_enroll_radio_toggle
portals_bill_delivery_pref_manage_paperless
portals_bill_delivery_pref_paper_failure
portals_bill_delivery_pref_paper_success
portals_bill_delivery_pref_paperless_enroll_from_homepage
portals_bill_delivery_pref_paperless_failure
portals_bill_delivery_pref_paperless_submit_from_billinghome
portals_bill_delivery_pref_paperless_submit_from_homepage
portals_bill_delivery_pref_paperless_submit_from_paperless
portals_bill_delivery_pref_paperless_success
portals_bill_pay_clicks_from_local_nav
portals_biometrics_fingerprint_enroll
portals_biometrics_fingerprint_toggle_off
portals_biometrics_fingerprint_toggle_on
portals_biometrics_login_attempts
portals_biometrics_login_failures
portals_biometrics_login_successes
portals_call_support
portals_cancel_edit_device_nickname
portals_cancel_edit_wifi_network
portals_cancel_edit_wifi_network_changes
portals_cancel_pause_device
portals_cancel_remove_device
portals_cancel_tutorial_account_page_four
portals_cancel_tutorial_equip_page_three
portals_cancel_tutorial_otp_page_two
portals_cancel_tutorial_start_page_one
portals_cancel_unpause_device
portals_close_hostname_tooltip
portals_close_mac_address_tooltip
portals_close_network_tooltip
portals_confirm_edit_wifi_network_changes
portals_confirm_remove_device
portals_contact_our_moving_specialist
portals_create_username_flow_failure
portals_create_username_flow_start
portals_csat_campaign_dismiss
portals_csat_campaign_interaction
