domain              	string              	                    
state__playback__segment_info__is_ad	array<boolean>      	                    
state__playback__segment_info__query_parameters	array<string>       	                    
state__playback__segment_info__sequence_number	array<int>          	                    
state__playback__segment_info__segment_url	array<string>       	                    
state__playback__segment_info__size_bytes	array<int>          	                    
state__playback__segment_info__download_duration_ms	array<int>          	                    
state__playback__segment_info__location	array<string>       	                    
state__playback__segment_info__ip_address	array<string>       	                    
state__content__purchase_id	string              	                    
state__content__content_class	string              	                    
state__content__content_format	string              	                    
state__content__rental_duration_hours	int                 	                    
state__content__rental_expiration_date	bigint              	                    
state__content__stream__cdn	string              	                    
state__content__stream__content_uri	string              	                    
state__content__stream__playback_type	string              	                    
state__content__stream__streaming_format	string              	                    
state__content__stream__drm_type	string              	                    
state__content__stream__scrubbing_capability	string              	                    
state__content__stream__closed_captioning_capable	boolean             	                    
state__content__stream__sap_capable	boolean             	                    
state__content__stream__bookmark_position_sec	int                 	                    
state__content__stream__entitled	boolean             	                    
state__content__stream__parentally_blocked	boolean             	                    
state__content__stream__playback_id	string              	                    
state__content__stream__price	string              	                    
state__content__stream__purchase_type	string              	                    
state__content__stream__start_timestamp	bigint              	                    
state__content__stream__end_timestamp	bigint              	                    
state__content__stream__recording_start_timestamp	bigint              	                    
state__content__stream__recording_stop_timestamp	bigint              	                    
state__content__stream__programmer_call_sign	string              	                    
state__content__stream__programmer_favorited	boolean             	                    
state__content__identifiers__dvr_recording_id	string              	                    
state__content__identifiers__provider_asset_id	string              	                    
state__content__identifiers__platform_series_id	string              	                    
state__content__identifiers__platform_asset_id	string              	                    
state__content__identifiers__tms_series_id	string              	                    
state__content__identifiers__tms_program_id	string              	                    
state__content__identifiers__tms_guide_id	string              	                    
state__content__details__program_type	string              	                    
state__content__details__title	string              	                    
state__content__details__episode_number	string              	                    
state__content__details__season_number	string              	                    
state__content__details__available_date	bigint              	                    
state__content__details__service_closed_captioned	boolean             	                    
state__content__details__edition	string              	                    
state__content__details__run_time	int                 	                    
state__content__details__actual_run_time	int                 	                    
state__content__details__expiration_date	bigint              	                    
state__content__details__original_air_date	bigint              	                    
state__content__details__original_network_name	string              	                    
state__content__details__rating	struct<rating:string>	                    
state__content__details__rating__rating_type	string              	                    
state__content__details__description	string              	                    
state__content__details__year	int                 	                    
state__content__details__episode_title	string              	                    
state__content__details__content_format	string              	                    
state__content__details__actors	array<string>       	                    
state__content__details__genres	array<string>       	                    
state__content__details__asset_studios	array<string>       	                    
state__content__programmer__vod__provider_name	string              	                    
state__content__programmer__vod__product	string              	                    
state__content__programmer__linear__channel_name	string              	                    
state__content__programmer__linear__network_name	string              	                    
state__content__programmer__linear__channel_category	string              	                    
state__content__programmer__linear__channel_number	string              	                    
state__content__programmer__linear__linear_channel_id	string              	                    
state__content__programmer__linear__linear_airing_time	string              	                    
state__content__status	string              	                    
state__ad__id       	string              	                    
state__ad__title    	string              	                    
state__ad__number   	int                 	                    
state__ad__start_timestamp	bigint              	                    
state__ad__ad_duration_sec	int                 	                    
state__ad__ad_elapsed_ms	int                 	                    
state__ad__ad_stopped_reason	string              	                    
state__ad__ad_break_start_timestamp	bigint              	                    
state__ad__ad_break_elapsed_ms	int                 	                    
state__ad__ad_break_start_position_sec	int                 	                    
state__ad__ad_break_number	int                 	                    
state__ad__commodity_code	string              	                    
state__ad__vast     	map<string,string>  	                    
state__ad__campaign 	string              	                    
state__ad__device_ad_id	string              	                    
state__view__current_page__page_name	string              	                    
state__view__current_page__page_section__name	string              	                    
state__view__current_page__page_section__index	int                 	                    
state__view__current_page__page_section__number_of_items	int                 	                    
state__view__current_page__page_section__display_type	string              	                    
state__view__current_page__app_section	string              	                    
state__view__current_page__page_sub_section__name	string              	                    
state__view__current_page__page_sub_section_index	int                 	                    
state__view__current_page__page_sub_section__number_of_items	int                 	                    
state__view__current_page__page_sub_section__display_type	string              	                    
state__view__current_page__page_id	string              	                    
state__view__current_page__page_type	string              	                    
state__view__current_page__page_view_type	string              	                    
state__view__current_page__page_display_type	string              	                    
state__view__current_page__navigation__nav_global__name	string              	                    
state__view__current_page__navigation__nav_page_primary__name	string              	                    
state__view__current_page__navigation__nav_page_secondary__name	string              	                    
state__view__current_page__render_details__render_init_timestamp	bigint              	                    
state__view__current_page__render_details__partial_rendered_timestamp	bigint              	                    
state__view__current_page__render_details__partial_rendered_ms	bigint              	                    
state__view__current_page__render_details__fully_rendered_timestamp	bigint              	                    
state__view__current_page__render_details__fully_rendered_ms	bigint              	                    
state__view__current_page__render_details__view_rendered_status	string              	                    
state__view__current_page__sort_and_filter__applied_sorts	array<string>       	                    
state__view__current_page__sort_and_filter__applied_filters	array<string>       	                    
state__view__current_page__page_sequence_number	int                 	                    
state__view__current_page__elements__standardized_name	string              	                    
state__view__current_page__elements__ui_name	string              	                    
state__view__current_page__elements__number_of_items	int                 	                    
state__view__current_page__elements__element_type	string              	                    
state__view__current_page__elements__parentally_blocked_items	int                 	                    
state__view__current_page__elements__element_index	int                 	                    
state__view__current_page__elements__entitled_items	int                 	                    
state__view__current_page__settings	map<string,string>  	                    
state__view__previous_page__page_name	string              	                    
state__view__previous_page__app_section	string              	                    
state__view__previous_page__page_id	string              	                    
state__view__previous_page__page_type	string              	                    
state__view__previous_page__page_view_type	string              	                    
state__view__previous_page__page_display_type	string              	                    
state__view__previous_page__page_sequence_number	int                 	                    
state__view__previous_page__settings	map<string,string>  	                    
state__view__previous_page__page_section__name	string              	                    
state__view__previous_page__page_section__index	int                 	                    
state__view__previous_page__page_section__number_of_items	int                 	                    
state__view__previous_page__page_section__display_type	string              	                    
