run	comment	hive_name	metric_name	sourceName	label4	label5	condition1	condition2	condition3	condition4	condition5	condition6
TRUE		auto_pay_setup_successes	Auto Pay Enrollment Successes	SpectrumBusiness.net	Billing		visit__application_details__application_name = 'SMB'	((message__name = 'featureStop' AND message__feature__feature_name IN ('autoPayEnroll', 'autoPayEnrollment') AND operation__success = TRUE) OR ((message__event_case_id IN('SPECNET_billPay_billPayStop_autopayEnrolled_triggeredByApplicationSuccess', 'SPECNET_billPay_billPayStop_autopayEnrollmentWithPayment_triggeredByApplicationSuccess'))))				
TRUE		view_online_statement	View Online Statement	SpectrumBusiness.net	Billing		visit__application_details__application_name = 'SMB'	message__name = 'selectAction'	state__view__current_page__elements__standardized_name IN( 'downloadStatement', 'pay-bill.billing-statement-download')
FALSE		one_time_payment_updated	One Time Payment Successes	SpectrumBusiness.net_adobe	Billing		visit__application_details__application_name = 'SMB'	message__name = 'featureStop'	((message__feature__feature_step_name IN( 'otpSuccess' ) AND message__feature__feature_step_changed = TRUE) OR (message__feature__feature_name = 'oneTimeBillPayFlow' AND operation__success = TRUE AND message__feature__feature_step_name IN('oneTimePaymentAppSuccess') AND message__feature__feature_step_changed = TRUE))
FALSE		otp_with_autopay_successes	One Time Payment with Auto Pay Enrollment Successes	SpectrumBusiness.net_adobe	Billing		visit__application_details__application_name = 'SMB'	message__name = 'featureStop'	((message__feature__feature_step_name IN( 'otpSuccessAutoPay' ) AND message__feature__feature_step_changed = TRUE) OR (message__feature__feature_name = 'oneTimeBillPayFlow' AND operation__success = TRUE AND message__feature__feature_step_name IN('oneTimePaymentAutoPayAppSuccess') AND message__feature__feature_step_changed = TRUE))
TRUE		account_view	Account View	MySpectrum	Homepage/Nav		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('pageView')	LOWER(state__view__current_page__page_name) = LOWER('accountHome')
TRUE		set_up_auto_payment_starts	Auto Pay Enrollment Starts	MySpectrum	Billing		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('selectAction')	LOWER(operation__operation_type) = LOWER('singleSelectCheckBox')	LOWER(state__view__current_page__elements__standardized_name) IN (LOWER('autoPayEnroll'), LOWER('autoPayToggleEnable'))
TRUE		set_up_auto_payment_successes	Auto Pay Enrollment Successes	MySpectrum	Billing		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('pageView')	LOWER(state__view__current_page__page_name) = LOWER('autopaysuccess')
TRUE		autopay_enroll_radio_toggle	AutoPay Enroll Radio Toggle	MySpectrum	Billing		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('selectAction')	LOWER(state__view__current_page__elements__standardized_name) IN (LOWER('autoPayToggleEnable'),LOWER('autoPayEnroll'))
TRUE		bill_pay_view	Bill Pay View	MySpectrum	Billing		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('pageView')	LOWER(state__view__current_page__page_name) = LOWER('billingHome')
TRUE		call_support	Call Support	MySpectrum	Support		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('selectAction')	LOWER(state__view__current_page__elements__standardized_name) = LOWER('callUsButton')
TRUE		cancelled_appointments	Cancelled Appointments	MySpectrum	Homepage/Nav		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('modalView')	LOWER(state__view__modal__name) = LOWER('cancelappointment-modal')
TRUE		contact_our_moving_specialist	Contact Our Moving Specialist	MySpectrum	Support		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('selectAction')	LOWER(state__view__current_page__elements__standardized_name) = LOWER('contactSpecialist')
TRUE		create_username_flow_failure	Create Username Flow Failure	MySpectrum	ID/Auth		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('apiCall')	LOWER(application__api__path) = LOWER('/care/api/v1/user/register')	application__api__response_code RLIKE '2.*'	LOWER(application__api__response_text) NOT IN (LOWER('OK'),NULL)
TRUE		create_username_flow_start	Create Username Flow Start	MySpectrum	ID/Auth		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('selectAction')	LOWER(state__view__current_page__page_name) = LOWER('login')	LOWER(state__view__current_page__elements__standardized_name) = LOWER('createusername')
TRUE		create_username_fow_success	Create Username Flow Success	MySpectrum	ID/Auth		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('apiCall')	LOWER(application__api__path) = LOWER('/care/api/v1/user/register')	application__api__response_code RLIKE '2.*'	LOWER(application__api__response_text) IN (LOWER('OK'),NULL)
TRUE		dashboard_view	Dashboard View	MySpectrum	Homepage/Nav		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('pageView')	LOWER(state__view__current_page__page_name) = LOWER('dashboardHome')
TRUE		download_wifi_profile_button_click	Download WiFi Profile Button Click	MySpectrum	Equipment		LOWER(visit__application_details__application_Name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('selectAction')	LOWER(state__view__current_page__elements__standardized_name) = LOWER('installWiFiProfile')
TRUE		download_wifi_profile_success	Download WiFi Profile Success	MySpectrum	Equipment		LOWER(visit__application_details__application_Name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('pageView')	LOWER(state__view__current_page__page_Name) = LOWER('spectrumWiFiProfileResponse')
TRUE		equipment_detail_views	Equipment Details Views	MySpectrum	Equipment		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('pageView')	LOWER(state__view__current_page__page_name) = LOWER('equipDetails')
TRUE		equipment_list_view	Equipment List View	MySpectrum	Equipment		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('pageView')	LOWER(state__view__current_page__page_name) IN (LOWER('internetTab'),LOWER('voiceTab'),LOWER('tvTab'))
TRUE		all_equipment_reset_flow_failures	Equipment Reset Flow Failures All	MySpectrum	Equipment		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('modalView')	LOWER(state__view__modal__name) IN (LOWER('resetrouterfail-modal'),LOWER('resetmodemfail-modal'))
TRUE		internet_equipment_reset_flow_failures	Equipment Reset Flow Failures Internet	MySpectrum	Equipment		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('modalView')	LOWER(state__view__modal__name) IN (LOWER('resetrouterfail-modal'),LOWER('resetmodemfail-modal'))	LOWER(state__view__previous_page__page_name) IN (LOWER('internetTab'),LOWER('equipmentHome'))	LOWER(state__view__current_page__page_name) <> LOWER('voiceTab')
TRUE		tv_equipment_reset_flow_failures	Equipment Reset Flow Failures TV	MySpectrum	Equipment		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('modalView')	LOWER(state__view__current_page__page_name) = LOWER('tvTab')	LOWER(state__view__modal__name) IN (LOWER('resetrouterfail-modal'),LOWER('resetmodemfail-modal'))
TRUE		voice_equipment_reset_flow_failures	Equipment Reset Flow Failures Voice	MySpectrum	Equipment		((LOWER(visit__application_details__application_name) = LOWER('MySpectrum') AND LOWER(message__name) = LOWER('modalView') AND LOWER(state__view__current_page__page_name) = LOWER('voiceTab') AND LOWER(state__view__modal__name) IN (LOWER('resetrouterfail-modal'),LOWER('resetmodemfail-modal'))) OR (LOWER(visit__application_details__application_name) = LOWER('MySpectrum') AND LOWER(message__name) = LOWER('modalView') AND LOWER(state__view__modal__name) IN (LOWER('resetrouterfail-modal'),LOWER('resetmodemfail-modal')) AND LOWER(state__view__current_page__page_name) = LOWER('voiceTab')))
TRUE		all_equipment_reset_flow_starts	Equipment Reset Flow Starts All	MySpectrum	Equipment		((LOWER(visit__application_details__application_name) = LOWER('MySpectrum') AND LOWER(message__name) = LOWER('selectAction') AND LOWER(state__view__current_page__elements__standardized_name) = LOWER('troubleshoot')) OR (LOWER(visit__application_details__application_name) = LOWER('MySpectrum') AND LOWER(message__name) = LOWER('selectAction') AND LOWER(state__view__current_page__elements__standardized_name) IN (LOWER('internetResetEquip'),LOWER('resetEquip'))))
TRUE		internet_equipment_reset_flow_starts	Equipment Reset Flow Starts Internet	MySpectrum	Equipment		((LOWER(visit__application_details__application_name) = LOWER('MySpectrum') AND LOWER(message__name) = LOWER('selectAction') AND LOWER(state__view__current_page__page_name) = LOWER('internetTab') AND LOWER(state__view__current_page__elements__standardized_name) = LOWER('troubleshoot')) OR (LOWER(visit__application_details__application_name) = LOWER('MySpectrum') AND LOWER(message__name) = LOWER('selectAction') AND LOWER(state__view__current_page__elements__standardized_name) IN (LOWER('internetResetEquip'),LOWER('resetEquip')) AND LOWER(state__view__current_page__page_name) IN (LOWER('internetTab'),LOWER('equipmentHome'))))
TRUE		tv_equipment_reset_flow_starts	Equipment Reset Flow Starts TV	MySpectrum	Equipment		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('selectAction')	LOWER(state__view__current_page__page_name) = LOWER('tvTab')	LOWER(state__view__current_page__elements__standardized_name) IN(LOWER('troubleshoot'),LOWER('internetConnectIssues'),LOWER('internetTroubleshoot'))
TRUE		voice_equipment_reset_flow_starts	Equipment Reset Flow Starts Voice	MySpectrum	Equipment		((LOWER(visit__application_details__application_name) = LOWER('MySpectrum') AND LOWER(message__name) = LOWER('selectAction') AND LOWER(state__view__current_page__page_name) = LOWER('voiceTab') AND LOWER(state__view__current_page__elements__standardized_name) = LOWER('troubleshoot')) OR (LOWER(visit__application_details__application_name) = LOWER('MySpectrum') AND LOWER(message__name) = LOWER('selectAction') AND LOWER(state__view__current_page__elements__standardized_name) IN (LOWER('internetResetEquip'),LOWER('resetEquip')) AND LOWER(state__view__current_page__page_name) = LOWER('voiceTab')))
TRUE		all_equipment_reset_flow_successes	Equipment Reset Flow Successes All	MySpectrum	Equipment		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('modalView')	LOWER(state__view__modal__name) = LOWER('resetsuccess-modal')
TRUE		internet_equipment_reset_flow_successes	Equipment Reset Flow Successes Internet	MySpectrum	Equipment		((LOWER(visit__application_details__application_name) = LOWER('MySpectrum') AND LOWER(message__name) = LOWER('modalView') AND LOWER(state__view__modal__name) = LOWER('internetresetsuccess-modal') AND LOWER(state__view__previous_page__page_name) IN (LOWER('internetTab'),LOWER('equipmentHome')) AND LOWER(state__view__current_page__page_name) <> LOWER('voiceTab')) OR (LOWER(visit__application_details__application_name) = LOWER('MySpectrum') AND LOWER(message__name) = LOWER('modalView') AND LOWER(state__view__modal__name) = LOWER('resetsuccess-modal') AND LOWER(state__view__current_page__page_name) <> LOWER('voiceTab')) OR (LOWER(visit__application_details__application_name) = LOWER('MySpectrum') AND LOWER(message__name) = LOWER('modalView') AND LOWER(state__view__modal__name) = LOWER('resetsuccess-modal') AND LOWER(state__view__previous_page__page_name) IN (LOWER('internetTab'),LOWER('equipmentHome')) AND LOWER(state__view__current_page__page_name) <> LOWER('voiceTab')))
TRUE		tv_equipment_reset_flow_successes	Equipment Reset Flow Successes TV	MySpectrum	Equipment		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('modalView')	LOWER(state__view__current_page__page_name) = LOWER('tvTab')	LOWER(state__view__modal__name) = LOWER('internetresetsuccess-modal')
TRUE		voice_equipment_reset_flow_successes	Equipment Reset Flow Successes Voice	MySpectrum	Equipment		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('modalView')	LOWER(state__view__modal__name) = LOWER('resetsuccess-modal')	LOWER(state__view__current_page__page_name) = LOWER('voiceTab')
TRUE		forgot_password_flow_failure	Forgot Password Flow Failure	MySpectrum	ID/Auth		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('apiCall')	LOWER(application__api__path) = LOWER('/care/api/v1/forgotpwd3')	application__api__response_code RLIKE '2.*'	LOWER(application__api__response_text) NOT IN (LOWER('OK'),NULL)
TRUE		forgot_password_flow_start	Forgot Password Flow Start	MySpectrum	ID/Auth		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('selectaction')	LOWER(state__view__current_page__page_name) = LOWER('login')	LOWER(state__view__current_page__elements__standardized_name) = LOWER('forgotpassword')
TRUE		forgot_password_flow_success	Forgot Password Flow Success	MySpectrum	ID/Auth		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('modalView')	LOWER(state__view__modal__name) = LOWER('newpasswordresponse-modal')	LOWER(state__view__current_page__page_name) = LOWER('newPasswordEntry')
TRUE		forgot_username_flow_failure	Forgot Username Flow Failure	MySpectrum	ID/Auth		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('apiCall')	LOWER(application__api__path) = LOWER('/care/api/v1/forgotusername')	application__api__response_code RLIKE '2.*'	LOWER(application__api__response_text) NOT IN (LOWER('OK'),NULL)
TRUE		forgot_username_flow_start	Forgot Username Flow Start	MySpectrum	ID/Auth		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('selectAction')	LOWER(state__view__current_page__page_name) = LOWER('login')	LOWER(state__view__current_page__elements__standardized_name) = LOWER('forgotUsername')
TRUE		forgot_username_flow_success	Forgot Username Flow Success	MySpectrum	ID/Auth		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('selectAction')	LOWER(state__view__current_page__elements__standardized_name) = LOWER('loginRecoverySendEmail')
TRUE		get_moving_info	Get Moving Info	MySpectrum	Support		LOWER(visit__application_details__application_name) = LOWER('MySpectrum')	LOWER(message__name) = LOWER('selectAction')	LOWER(state__view__current_page__elements__standardized_name) = LOWER('getMoveInfo')
