run	comment	label1	label2	label3	label4	label5	condition1	condition2	condition3	condition4	condition5
TRUE	5d	CL-55	EQUIPMENT	View Equipment Image	Internet		message__category = 'Custom Link'	LOWER(message__name) IN ('equipment.internet.expand-device')			
TRUE	5d	CL-55	EQUIPMENT	View Equipment Image	Voice		message__category = 'Custom Link'	LOWER(message__name) IN ('equipment.voice.expand-device')			
TRUE	OneTime pre step1	CL-55	BILLING	One Time Payment	step1	Pre	message__category = 'Page View'	"LOWER(message__name) IN ('onetime-noautopay', 'onetime-wautopay')"			
TRUE	OneTime pre step2	CL-55	BILLING	One Time Payment	step2	Pre	message__category = 'Page View'	"LOWER(message__name) IN ('onetime-noautopay-credit-review', 'onetime-noautopay-checking-review', 'onetime-noautopay-savings-review', 'onetime-wautopay-credit-review  ', 'onetime-wautopay-checking-review', 'onetime-wautopay-savings-review')"			
TRUE	OneTime pre confirmation	CL-55	BILLING	One Time Payment	confirmation	Pre	message__category = 'Page View'	"LOWER(message__name) IN ('onetime-noautopay-credit-confirm', 'onetime-noautopay-checking-confirm', 'onetime-noautopay-savings-confirm', 'onetime-wautopay-credit-confirm', 'onetime-wautopay-checking-confirm', 'onetime-wautopay-savings-confirm')"			
TRUE	OneTime post step1	CL-55	BILLING	One Time Payment	step1	Post	message__category = 'Page View'	(LOWER(message__name) IN ('pay-bill.onetime') or (LOWER(visit__referrer_link) = 'pay-bill.make-a-payment-hp' and LOWER(state__view__current_page__name) = 'billing-and-transactions'))			
TRUE	OneTime post step2	CL-55	BILLING	One Time Payment	step2	Post	message__category = 'Page View'	LOWER(message__name) IN ('pay-bill.onetime-payment-date')			
TRUE	OneTime post step3	CL-55	BILLING	One Time Payment	step3	Post	message__category = 'Page View'	LOWER(message__name) IN ('pay-bill.onetime-payment-method')			
TRUE	OneTime post step4	CL-55	BILLING	One Time Payment	step4	Post	message__category = 'Page View'	"LOWER(message__name) IN ('pay-bill.onetime-review-autopay-option', 'pay-bill.onetime-review-no-autopay-option')"			
TRUE	OneTime post confirmation	CL-55	BILLING	One Time Payment	confirmation	Post	message__category = 'Page View'	"LOWER(message__name) IN ('pay-bill.onetime-confirmation', 'pay-bill.onetime-confirmation-with-autopay-enrollment')"			
TRUE	AutoPay pre step1	CL-55	BILLING	AutoPay	step1	Pre	message__category = 'Page View'	"LOWER(message__name) IN ('autopay-wbalance','autopay-nobalance')"			
TRUE	AutoPay pre step2	CL-55	BILLING	AutoPay	step2	Pre	message__category = 'Page View'	"LOWER(message__name) IN ('autopay-wbalance-credit-review','autopay-nobalance-credit-review','autopay-wbalance-checking-review','autopay-nobalance-checking-review','autopay-wbalance-savings-review','autopay-nobalance-savings-review')"			
TRUE	AutoPay pre confirmation	CL-55	BILLING	AutoPay	confirmation	Pre	message__category = 'Page View'	"LOWER(message__name) IN ('autopay-nobalance-savings-confirm','autopay-wbalance-savings-confirm','autopay-nobalance-checking-confirm','autopay-nobalance-credit-confirm','autopay-wbalance-checking-confirm','autopay-wbalance-credit-confirm')"			
TRUE	AutoPay post step1	CL-55	BILLING	AutoPay	step1	Post	message__category = 'Page View'	"(LOWER(message__name) IN ('pay-bill.autopay-enrollment') or (LOWER(visit__settings[""post_prop11""]) = 'pay-bill.enroll-in-autopay-hp' and LOWER(state__view__current_page__name) = 'billing-and-transactions')) "			
TRUE	AutoPay post confirmation	CL-55	BILLING	AutoPay	confirmation	Post	message__category = 'Page View'	LOWER(message__name) IN ('pay-bill.autopay-enrollment-confirmation')			
TRUE	2a1 IVA from Billing	CL-55	BILLING	Ask Spectrum	from Billing	Pre	message__category = 'Custom Link'	LOWER(message__name) IN ('open-ask-spectrum')	(state__view__current_page__page_id RLIKE ('\.net\/payment\/') or state__view__current_page__page_id RLIKE ('\.net\/billing-and-transactions\/'))		
TRUE	2a2 IVA from Billing	CL-55	BILLING	Ask Spectrum	from Billing	Post	message__category = 'Custom Link'	LOWER(message__name) IN ('open-ask-spectrum')	"(visit__settings[""post_prop23""] = 'billing')"		
