run	hive_metric	application	version_note	note	start_date	end_date	condition_1	condition_2	condition_3	condition_4	condition_5	condition_6
TRUE	AP_enroll_abandon_core	MySpectrum					visit__application_details__application_name = 'MySpectrum'	message__name = 'featureStop'	message__feature__feature_name = 'autoPayEnrollment'	message__feature__feature_step_name = 'enrollmentAbandon'
TRUE	AP_enroll_failure_core	MySpectrum		m1			visit__application_details__application_name = 'MySpectrum'	message__name = 'featureStop'	message__feature__feature_name = 'autoPayEnrollment'	operation__success = FALSE
TRUE	AP_enroll_failure_core	SMB					visit__application_details__application_name = 'SMB'	message__name = 'featureStop'	message__feature__feature_name = 'autoPayEnrollment'	message__feature__feature_step_name in ('enrollmentWithPaymentFailure', 'enrollmentFailure')	operation__success = FALSE
TRUE	AP_enroll_failure_core	SpecNet					visit__application_details__application_name = 'SpecNet'	message__name = 'featureStop'	message__feature__feature_name = 'autoPayEnrollment'	message__feature__feature_step_name in ('enrollmentWithPaymentFailure', 'enrollmentFailure')	operation__success = FALSE
TRUE	AP_enroll_start_core	MySpectrum	sane as m1 flow, just with one added entry point	m1			visit__application_details__application_name = 'MySpectrum'	message__name = 'featureStart'	message__feature__feature_name = 'autoPayEnrollment'	message__feature__feature_step_name = 'autoPayEnrollStart'
TRUE	AP_enroll_start_core	SMB	m2 same as m1 flow	m1			visit__application_details__application_name = 'SMB'	message__name = 'featureStart'	message__feature__feature_name = 'autoPayEnrollment'
TRUE	AP_enroll_start_core	SpecNet	m2 same as m1 flow	m1			visit__application_details__application_name = 'SpecNet'	message__name = 'featureStart'	message__feature__feature_name = 'autoPayEnrollment'
TRUE	AP_enroll_submit_core	SMB	m2 same as m1 flow	m1			visit__application_details__application_name = 'SMB'	message__name = 'selectAction'	message__feature__feature_name = 'autoPayEnrollment'	message__feature__feature_step_name in ('enrollWithBalanceConfirm', 'enrollNoBalanceConfirm')
TRUE	AP_enroll_submit_core	SpecNet	m2 same as m1 flow	m1			visit__application_details__application_name = 'SpecNet'	message__name = 'selectAction'	message__feature__feature_name = 'autoPayEnrollment'	message__feature__feature_step_name in ('enrollWithBalanceConfirm', 'enrollNoBalanceConfirm')
TRUE	AP_enroll_success_core	MySpectrum		m1			visit__application_details__application_name = 'MySpectrum'	message__name = 'featureStop'	message__feature__feature_name = 'autoPayEnrollment'	operation__success = TRUE
TRUE	AP_enroll_success_core	SMB	m2 same as m1 flow	m1			visit__application_details__application_name = 'SMB'	message__name = 'featureStop'	message__feature__feature_name = 'autoPayEnrollment'
TRUE	AP_enroll_success_core	SpecNet	m2 same as m1 flow	m1			visit__application_details__application_name = 'SpecNet'	message__name = 'featureStop'	message__feature__feature_name = 'autoPayEnrollment'	message__feature__feature_step_name in ('enrollmentWithPaymentSuccess', 'enrollmentSuccess')
TRUE	AP_manage_failure	MySpectrum					visit__application_details__application_name = 'MySpectrum'	message__name = 'featureStop'	message__feature__feature_name = 'autoPayManagement'	operation__success = FALSE	message__event_case_id <> 'mySpectrum_featureStop_billing_autoPay_managementAbandon'
